1ATN,"MacBook Pro (13-inch, Mid 2010)"
3GRL,"MacBook Pro (13-inch, Mid 2010)"
4GQL,"MacBook Pro (15-inch, Mid 2010)"
5AGU,"MacBook Pro (15-inch, Mid 2010)"
6AGU,"MacBook Pro (15-inch, Mid 2010)"
9AGU,"MacBook Pro (15-inch, Mid 2010)"
9AGY,"MacBook Pro (15-inch, Mid 2010)"
AATP,"MacBook Pro (13-inch, Mid 2010)"
BAGX,"MacBook Pro (15-inch, Mid 2010)"
DAGU,"MacBook Pro (15-inch, Mid 2010)"
DAGX,"MacBook Pro (15-inch, Mid 2010)"
DC79,"MacBook Pro (17-inch, Mid 2010)"
DC7C,"MacBook Pro (17-inch, Mid 2010)"
DDR1,"MacBook Air (13-inch, Late 2010)"
DF8V,"MacBook Pro (15-inch, Early 2011)"
DF8Y,"MacBook Pro (15-inch, Early 2011)"
DF91,"MacBook Pro (15-inch, Early 2011)"
DF92,"MacBook Pro (17-inch, Early 2011)"
DF93,"MacBook Pro (17-inch, Early 2011)"
DH2G,"MacBook Pro (13-inch, Early 2011)"
DH2H,"MacBook Pro (13-inch, Early 2011)"
DH2L,"MacBook Pro (13-inch, Early 2011)"
DH2M,"MacBook Pro (13-inch, Early 2011)"
DJWQ,"MacBook Air (13-inch, Mid 2011)"
DJWR,"MacBook Air (13-inch, Mid 2011)"
DJWT,"MacBook Air (13-inch, Mid 2011)"
DJWV,"MacBook Air (13-inch, Mid 2011)"
DJY9,"MacBook Air (11-inch, Mid 2011)"
DJYC,"MacBook Air (11-inch, Mid 2011)"
DJYD,"MacBook Air (11-inch, Mid 2011)"
DKQ1,"MacBook Pro (Retina, Mid 2012)"
DKQ2,"MacBook Pro (Retina, Mid 2012)"
DKQ4,"MacBook Pro (Retina, Mid 2012)"
DKQ5,"MacBook Pro (Retina, Mid 2012)"
DMGG,"MacBook Pro (15-inch, Early 2011)"
DR53,"MacBook Pro (Retina, 13-inch, Late 2012)"
DR54,"MacBook Pro (Retina, 13-inch, Late 2012)"
DR55,"MacBook Pro (Retina, 13-inch, Late 2012)"
DR56,"MacBook Pro (Retina, 13-inch, Late 2012)"
DRJ7,"MacBook Pro (13-inch, Early 2011)"
DRJ9,"MacBook Pro (13-inch, Early 2011)"
DRJC,"MacBook Pro (15-inch, Early 2011)"
DRJD,"MacBook Pro (15-inch, Early 2011)"
DRJJ,"MacBook Pro (13-inch, Early 2011)"
DRJL,"MacBook Pro (15-inch, Early 2011)"
DRJM,"MacBook Pro (15-inch, Early 2011)"
DRV6,"MacBook Air (11-inch, Mid 2012)"
DRV7,"MacBook Air (11-inch, Mid 2012)"
DRV8,"MacBook Air (11-inch, Mid 2012)"
DRV9,"MacBook Air (11-inch, Mid 2012)"
DRVC,"MacBook Air (13-inch, Mid 2012)"
DRVD,"MacBook Air (13-inch, Mid 2012)"
DRVF,"MacBook Air (13-inch, Mid 2012)"
DRVG,"MacBook Air (13-inch, Mid 2012)"
DT66,"MacBook Pro (13-inch, Early 2011)"
DTK2,"MacBook Air (11-inch, Mid 2011)"
DTY3,"MacBook Pro (13-inch, Mid 2012)"
DTY4,"MacBook Pro (13-inch, Mid 2012)"
DV10,"MacBook Pro (17-inch, Late 2011)"
DV13,"MacBook Pro (13-inch, Late 2011)"
DV14,"MacBook Pro (13-inch, Late 2011)"
DV16,"MacBook Pro (13-inch, Late 2011)"
DV17,"MacBook Pro (13-inch, Late 2011)"
DV30,"MacBook Pro (13-inch, Mid 2012)"
DV31,"MacBook Pro (13-inch, Mid 2012)"
DV33,"MacBook Pro (15-inch, Mid 2012)"
DV35,"MacBook Pro (15-inch, Mid 2012)"
DV7L,"MacBook Pro (15-inch, Late 2011)"
DV7M,"MacBook Pro (15-inch, Late 2011)"
DV7N,"MacBook Pro (15-inch, Late 2011)"
DV7P,"MacBook Pro (15-inch, Late 2011)"
DVHL,"MacBook Pro (15-inch, Late 2011)"
DY77,"MacBook Pro (13-inch, Late 2011)"
EAGV,"MacBook Pro (15-inch, Mid 2010)"
EATM,"MacBook Pro (13-inch, Mid 2010)"
F14V,"MacBook Air (13-inch, Mid 2011)"
F1G3,"MacBook Pro (15-inch, Mid 2012)"
F1G4,"MacBook Pro (15-inch, Mid 2012)"
F2FV,"MacBook Air (13-inch, Mid 2012)"
F51R,"MacBook Pro (Retina, Mid 2012)"
F56D,"MacBook Air (13-inch, Mid 2012)"
F57J,"MacBook Air (13-inch, Mid 2012)"
F5N7,"MacBook Air (11-inch, Mid 2013)"
F5N8,"MacBook Air (11-inch, Mid 2013)"
F5V7,"MacBook Air (13-inch, Mid 2013)"
F5V8,"MacBook Air (13-inch, Mid 2013)"
F5WV,"MacBook Pro (13-inch, Mid 2012)"
F5WW,"MacBook Pro (13-inch, Mid 2012)"
F5YV,"MacBook Air (13-inch, Early 2014)"
F5YW,"MacBook Air (11-inch, Mid 2013)"
F67P,"MacBook Air (13-inch, Mid 2012)"
